EQUIPMENT_NUMBER,ORDER_TYPE,DESIR,MRMIN,MRMAX,MRNGU,CJUMP,PYEAR,INDCT,READG,MEASUREMENT_DATE,Previous Order Date,MEASUREMENT_YEAR,MEASUREMENT_MONTH
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1721880.0,7,-269,1999,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1796760.0,14,-276,1999,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1872720.0,21,-283,1999,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,1939680.0,28,-290,1999,6
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2022480.0,5,-297,1999,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2097000.0,12,-304,1999,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2178720.0,19,-311,1999,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2257560.0,26,-318,1999,7
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2319480.0,1,-324,1999,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2408760.0,9,-332,1999,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2463120.0,16,-339,1999,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2531160.0,23,-346,1999,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2611440.0,30,-353,1999,8
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2677320.0,6,-360,1999,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2736720.0,20,-13,1999,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2790720.0,29,-22,1999,9
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2854080.0,13,-36,1999,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2919240.0,18,-41,1999,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,2982960.0,25,-48,1999,10
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3043080.0,2,-56,1999,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3124080.0,8,-62,1999,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3197880.0,15,-69,1999,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3281760.0,22,-76,1999,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3346200.0,29,-83,1999,11
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3407760.0,6,-90,1999,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3466080.0,13,-97,1999,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3537000.0,20,-104,1999,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3601800.0,27,-111,1999,12
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3677760.0,3,-118,2000,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3750120.0,10,-125,2000,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3827160.0,17,-132,2000,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,3964320.0,31,-146,2000,1
2,1,0.0,0.0,0.0,2,0.0,9000000.0,0,4243320.0,14,-160,2000,2
